Time,x_end_to_end,y_end_to_end,z_end_to_end
131.0000,62.072201,-13.417334,22.035782
132.0000,59.738529,-12.569310,21.549817
133.0000,56.106875,-11.055558,17.620772
134.0000,53.672191,-14.587252,17.063565
135.0000,53.498852,-11.355435,16.644389
136.0000,52.115185,-11.027227,14.652959
137.0000,51.795376,-10.603628,14.260611
138.0000,51.873049,-9.971545,15.881547
139.0000,52.075231,-15.347267,17.986055
140.0000,51.345153,-13.180291,17.475109
141.0000,53.020836,-14.956428,16.532844
142.0000,54.680430,-15.894301,15.502494
143.0000,50.705939,-11.990835,17.131010
144.0000,47.948450,-14.752498,19.802790
145.0000,49.217238,-15.384576,15.819255
146.0000,48.742849,-13.991121,17.894570
147.0000,43.936019,-14.009196,14.172000
148.0000,41.590508,-17.036779,15.371309
149.0000,40.811210,-15.891257,14.815058
150.0000,39.245330,-12.822456,13.036196
151.0000,41.174251,-14.092410,13.080621
152.0000,43.813782,-12.441867,15.739261
153.0000,43.836533,-14.229398,19.397112
154.0000,48.014885,-10.191526,21.286469
155.0000,47.522948,-11.116291,19.967512
156.0000,44.437190,-11.038133,18.998420
157.0000,48.485178,-13.326176,17.909410
158.0000,50.136300,-11.088512,18.903751
159.0000,51.093101,-10.669196,21.342838
160.0000,49.072676,-10.796165,18.022824
161.0000,48.771239,-13.293204,17.629030
162.0000,46.073266,-10.973364,16.255821
163.0000,46.937254,-7.894445,16.017337
164.0000,46.160926,-7.894212,15.010068
165.0000,44.289073,-4.886657,13.280957
166.0000,45.719001,-4.696201,11.020824
167.0000,43.054480,-5.598856,10.429238
168.0000,43.400079,-5.466321,6.627133
169.0000,41.162254,-9.318339,5.056257
170.0000,42.045314,-8.510159,3.748386
171.0000,42.848772,-7.399117,3.664478
172.0000,39.763028,-6.859135,3.561903
173.0000,41.115631,-6.067929,2.468486
174.0000,39.246238,-8.785068,3.207115
175.0000,37.864103,-10.264641,5.346699
176.0000,36.857415,-9.435237,6.248257
177.0000,33.783903,-9.170040,7.959796
178.0000,35.943753,-6.177633,9.128319
179.0000,35.559088,-8.382508,12.063290
180.0000,34.426228,-10.398644,9.915599
181.0000,33.761460,-11.391483,12.051750
182.0000,32.196943,-13.445274,8.524158
183.0000,33.635566,-13.565614,5.074334
184.0000,34.992650,-13.488295,3.554510
185.0000,34.911675,-15.474409,4.958431
186.0000,36.702028,-15.286000,7.763798
187.0000,37.417563,-14.945506,6.587254
188.0000,37.141088,-17.167342,7.015960
189.0000,34.474150,-17.956292,6.317614
190.0000,35.051168,-19.592991,9.094344
191.0000,33.450378,-18.344979,8.958249
192.0000,35.773109,-15.795915,9.150282
193.0000,35.542270,-14.436670,13.551567
194.0000,32.446465,-13.833908,12.325794
195.0000,29.851191,-16.269991,11.261156
196.0000,30.371437,-17.099864,11.169626
197.0000,29.850563,-16.670869,12.488617
198.0000,28.706144,-17.112981,11.501976
199.0000,30.729016,-13.448279,9.850851
200.0000,32.738796,-13.409663,12.569013
201.0000,32.446709,-14.469632,13.916706
202.0000,30.090472,-13.148760,15.323256
203.0000,33.004811,-14.006070,17.014952
204.0000,31.558479,-12.565825,19.920556
205.0000,30.242286,-12.581558,19.358921
206.0000,33.021548,-12.571655,14.071751
207.0000,38.180656,-10.519744,13.112849
208.0000,37.240165,-9.649049,13.549863
209.0000,36.724109,-8.327153,16.384967
210.0000,36.905908,-8.197492,18.819446
211.0000,35.008108,-7.423048,16.027969
212.0000,38.904497,-8.444556,14.181419
213.0000,35.038124,-9.173284,17.545438
214.0000,35.219140,-9.888293,15.184566
215.0000,35.235320,-10.258950,14.991321
216.0000,34.407333,-9.818229,14.113431
217.0000,34.202681,-9.451207,15.102908
218.0000,33.532560,-8.680783,14.123060
219.0000,33.008104,-9.469041,13.214577
220.0000,30.471173,-5.984401,13.038629
221.0000,28.269924,-8.969873,12.106209
222.0000,26.844824,-10.383052,14.001252
223.0000,28.824205,-11.228508,15.892009
224.0000,27.791197,-7.158982,14.729526
225.0000,30.324698,-7.011092,17.154492
226.0000,30.559660,-8.930469,19.745984
227.0000,30.063759,-8.300615,16.866832
228.0000,31.738979,-8.380568,15.165017
229.0000,34.848815,-11.005439,15.461152
230.0000,34.879593,-10.840003,12.059048
231.0000,35.603196,-12.479180,10.764399
232.0000,33.370714,-13.792369,11.589173
233.0000,34.651359,-13.490142,12.962351
234.0000,35.496297,-14.149727,12.008951
235.0000,32.992801,-14.542731,13.423397
236.0000,33.106158,-13.875347,13.100793
237.0000,32.643636,-16.255214,12.373852
238.0000,35.876752,-16.920849,12.650723
239.0000,37.173981,-17.879395,10.408602
240.0000,34.723814,-19.989977,10.030078
241.0000,30.922566,-17.810426,7.734735
242.0000,28.231459,-17.161718,9.950704
243.0000,29.436214,-16.081902,12.150173
244.0000,29.229677,-19.947241,12.192318
245.0000,27.789255,-18.752021,13.847549
246.0000,28.609956,-14.502216,13.444531
247.0000,29.000707,-12.646373,11.440359
248.0000,30.176084,-12.112153,10.897948
249.0000,31.447910,-12.061668,9.996364
250.0000,30.102605,-8.088688,8.854375
251.0000,30.048178,-8.010189,7.050350
252.0000,30.187067,-6.199289,11.017283
253.0000,35.262127,-5.747753,8.485479
254.0000,33.497760,-9.744856,7.398399
255.0000,32.175114,-9.838879,7.927438
256.0000,31.852820,-10.822367,7.579733
257.0000,32.617576,-11.206267,5.616825
258.0000,33.058155,-9.201606,8.776473
259.0000,31.582823,-10.484705,12.213933
260.0000,31.646247,-10.263024,12.161412
261.0000,32.866317,-9.631946,10.405831
262.0000,35.147604,-11.470464,10.523860
263.0000,34.398350,-9.525942,12.155070
264.0000,34.295006,-10.800963,11.458005
265.0000,32.849111,-10.035825,10.681088
266.0000,32.328378,-8.736878,10.382751
267.0000,36.351135,-7.665753,7.098803
268.0000,34.214658,-6.338705,5.812423
269.0000,36.424372,-6.641127,3.646847
270.0000,35.609885,-12.798374,9.503685
271.0000,33.922690,-16.417304,7.754110
272.0000,33.450222,-17.648612,6.818346
273.0000,36.158450,-20.926146,4.273054
274.0000,33.316615,-16.469681,6.793382
275.0000,29.818524,-13.948256,8.862972
276.0000,31.572429,-11.206683,4.985142
277.0000,31.146326,-10.403958,3.663409
278.0000,29.532932,-9.753821,0.853846
279.0000,25.815694,-9.149427,0.234591
280.0000,22.737937,-8.565901,-0.398534
281.0000,21.158364,-6.915955,1.878863
282.0000,20.561629,-4.163738,1.941921
283.0000,20.086491,0.221002,-1.347911
284.0000,16.859989,-2.811760,0.282764
285.0000,17.761217,-3.371910,1.742530
286.0000,18.259999,-4.037749,0.681495
287.0000,18.726624,-8.134213,0.893040
288.0000,20.685146,-7.318136,-0.718789
289.0000,20.788486,-5.054903,2.329954
290.0000,22.082893,-7.244442,4.083056
291.0000,20.984647,-9.015650,4.665099
292.0000,18.481099,-8.087951,3.984951
293.0000,12.723057,-3.210802,1.669066
294.0000,13.400360,-3.092943,3.822248
295.0000,14.130907,-4.086642,-1.684654
296.0000,17.812786,-1.142058,-2.514611
297.0000,16.301153,-6.075813,-4.403708
298.0000,16.866070,-6.733141,-0.888415
299.0000,18.729265,-6.957094,-0.991897
300.0000,17.655118,-6.405899,-0.751532
301.0000,17.047727,-6.053631,-1.127425
302.0000,17.171805,-7.063009,-1.968115
303.0000,19.428353,-6.861695,-0.191163
304.0000,17.235777,-11.027785,-0.080229
305.0000,13.996572,-8.321541,-0.658088
306.0000,13.576438,-0.957875,-0.424035
307.0000,14.925986,-2.064409,2.106342
308.0000,13.663833,-0.535645,0.563448
309.0000,12.668760,-2.394067,2.876750
310.0000,12.498362,-2.518052,1.601844
311.0000,13.845368,-4.461798,3.254415
312.0000,14.521417,-2.311441,4.751112
313.0000,15.209546,-3.903847,3.292718
314.0000,14.995161,-3.306014,6.107687
